ADC1,ADC2,X_TAN,Y_TAN,X_FP,Y_FP,WAVELENGTH
0.0,-0.0,0.0,0.0,0.006862521141242019,-5.74369008042916e-20,4860.0
0.0,-0.0,0.0017453283658983088,0.0,24.324969340713704,4.130293990420969e-20,4860.0
0.0,-0.0,0.0010881944370323639,0.0013645526637037788,15.168949330358409,19.012648272210576,4860.0
0.0,-0.0,-0.0003883720980401396,0.0017015693398369522,-5.404412441467719,23.70836193038089,4860.0
0.0,-0.0,-0.0015724865219413782,0.000757269597383896,-21.90293916511582,10.551205587162746,4860.0
0.0,-0.0,-0.0015724865219413785,-0.0007572695973838957,-21.90293916511582,-10.551205587162755,4860.0
0.0,-0.0,-0.00038837209804014,-0.0017015693398369522,-5.404412441467735,-23.708361930380885,4860.0
0.0,-0.0,0.0010881944370323634,-0.001364552663703779,15.168949330358405,-19.012648272210576,4860.0
0.0,-0.0,0.003490651415223732,0.0,48.66744408196216,1.2907168720065528e-20,4860.0
0.0,-0.0,0.0030908183290647585,0.0016221865981818425,43.09365851582825,22.613683792720543,4860.0
0.0,-0.0,0.0019829160121158204,0.0028727497961879896,27.64920402153253,40.046816388382595,4860.0
0.0,-0.0,0.0004207515335196145,0.00346520063627553,5.87225124721566,48.305673298307816,4860.0
0.0,-0.0,-0.0012378020508002781,0.00326381577078702,-17.24834084397698,45.49827425509554,4860.0
0.0,-0.0,-0.0026127901024136277,0.0023147300454551562,-36.41593102564799,32.26779206611257,4860.0
0.0,-0.0,-0.0033892194290981504,0.0008353675622305723,-47.239485737742974,11.64518225167582,4860.0
0.0,-0.0,-0.0033892194290981513,-0.0008353675622305699,-47.239485737742974,-11.645182251675825,4860.0
0.0,-0.0,-0.0026127901024136295,-0.002314730045455154,-36.415931025648014,-32.26779206611256,4860.0
0.0,-0.0,-0.0012378020508002797,-0.0032638157707870195,-17.248340843976976,-45.49827425509553,4860.0
0.0,-0.0,0.0004207515335196114,-0.0034652006362755304,5.872251247215653,-48.305673298307845,4860.0
0.0,-0.0,0.001982916012115819,-0.0028727497961879905,27.649204021532505,-40.046816388382595,4860.0
0.0,-0.0,0.003090818329064757,-0.0016221865981818448,43.09365851582826,-22.613683792720543,4860.0
0.0,-0.0,0.005235963831419581,0.0,73.05863437299269,9.551304852848491e-20,4860.0
0.0,-0.0,0.004952264868677555,0.0017001146768368587,69.1004772717388,23.719852386882355,4860.0
0.0,-0.0,0.004131911165107541,0.0032159955484412075,57.65494191145575,44.86926683006797,4860.0
0.0,-0.0,0.0028638007735905862,0.004383373401059506,39.96235079208617,61.15636230488597,4860.0
0.0,-0.0,0.0012853531318076416,0.005075744730626858,17.93999585172148,70.81618139879254,4860.0
0.0,-0.0,-0.0004323824661154341,0.005218080360336544,-6.02564048288733,72.80194993743801,4860.0
0.0,-0.0,-0.0021032627147296768,0.004794956016144671,-29.337505519508735,66.89850398141922,4860.0
0.0,-0.0,-0.0035462218127193896,0.003852223786195089,-49.46940898772306,53.74559567646754,4860.0
0.0,-0.0,-0.00460489275200008,0.0024920433356005575,-64.23976987198613,34.768556837859244,4860.0
0.0,-0.0,-0.00516455210932853,0.0008618113215572484,-72.04801482384677,12.023837878991413,4860.0
0.0,-0.0,-0.005164552109328531,-0.0008618113215572471,-72.04801482384677,-12.02383787899141,4860.0
0.0,-0.0,-0.0046048927520000804,-0.0024920433356005567,-64.23976987198614,-34.768556837859215,4860.0
0.0,-0.0,-0.0035462218127193927,-0.003852223786195086,-49.46940898772308,-53.74559567646752,4860.0
0.0,-0.0,-0.00210326271472968,-0.004794956016144669,-29.337505519508767,-66.89850398141921,4860.0
0.0,-0.0,-0.0004323824661154366,-0.005218080360336544,-6.02564048288735,-72.80194993743801,4860.0
0.0,-0.0,0.0012853531318076392,-0.005075744730626858,17.93999585172146,-70.81618139879254,4860.0
0.0,-0.0,0.0028638007735905836,-0.004383373401059508,39.96235079208617,-61.156362304886,4860.0
0.0,-0.0,0.00413191116510754,-0.003215995548441209,57.65494191145573,-44.86926683006797,4860.0
0.0,-0.0,0.004952264868677555,-0.0017001146768368602,69.10047727173881,-23.719852386882412,4860.0
0.0,-0.0,0.0069812602979615525,0.0,97.52298015481492,4.64658073922359e-20,4860.0
0.0,-0.0,0.006778397561627131,0.0016707249457710222,94.6893285174399,23.337112940723845,4860.0
0.0,-0.0,0.00618159899748358,0.003244353430531917,86.35305947177532,45.31794013579957,4860.0
0.0,-0.0,0.005225548368804406,0.00462943188665519,72.9986586783228,64.66502226791899,4860.0
0.0,-0.0,0.003965807863025804,0.005745464588826298,55.40225229033349,80.25397084458703,4860.0
0.0,-0.0,0.002475589019373196,0.00652759177300887,34.58649744045113,91.17881503561496,4860.0
0.0,-0.0,0.0008414979403145742,0.006930359050174858,11.761145008749853,96.80465289602537,4860.0
0.0,-0.0,-0.0008414979403145718,0.006930359050174858,-11.747270107059133,96.8045471958172,4860.0
0.0,-0.0,-0.002475589019373194,0.006527591773008871,-34.57252429341308,91.17852214971997,4860.0
0.0,-0.0,-0.003965807863025802,0.005745464588826299,-55.388105159557654,80.25355786981697,4860.0
0.0,-0.0,-0.0052255483688044045,0.004629431886655193,-72.98430168314604,64.66458381193922,4860.0
0.0,-0.0,-0.006181598997483579,0.0032443534305319184,-86.33850480897817,45.317576643547035,4860.0
0.0,-0.0,-0.0067783975616271305,0.0016707249457710248,-94.6746336669664,23.336907683720685,4860.0
0.0,-0.0,-0.0069812602979615525,8.549578077913113e-19,-97.50823471175704,5.686898538060872e-16,4860.0
0.0,-0.0,-0.006778397561627132,-0.00167072494577102,-94.67463366696646,-23.336907683720597,4860.0
0.0,-0.0,-0.00618159899748358,-0.0032443534305319167,-86.3385048089782,-45.317576643547,4860.0
0.0,-0.0,-0.005225548368804407,-0.004629431886655189,-72.98430168314609,-64.66458381193914,4860.0
0.0,-0.0,-0.003965807863025804,-0.005745464588826298,-55.388105159557675,-80.25355786981697,4860.0
0.0,-0.0,-0.002475589019373197,-0.00652759177300887,-34.57252429341312,-91.17852214971995,4860.0
0.0,-0.0,-0.0008414979403145766,-0.006930359050174858,-11.747270107059148,-96.8045471958172,4860.0
0.0,-0.0,0.0008414979403145679,-0.006930359050174859,11.761145008749802,-96.80465289602536,4860.0
0.0,-0.0,0.0024755890193731947,-0.006527591773008871,34.586497440451126,-91.17881503561496,4860.0
0.0,-0.0,0.003965807863025801,-0.005745464588826299,55.40225229033348,-80.25397084458703,4860.0
0.0,-0.0,0.005225548368804404,-0.004629431886655193,72.9986586783228,-64.66502226791903,4860.0
0.0,-0.0,0.006181598997483578,-0.003244353430531922,86.35305947177532,-45.317940135799596,4860.0
0.0,-0.0,0.00677839756162713,-0.0016707249457710287,94.68932851743988,-23.337112940723962,4860.0
0.0,-0.0,0.008726535498373935,0.0,122.0850719160306,1.6004889212881257e-19,4860.0
0.0,-0.0,0.008558857565721424,0.0017024626204629452,119.73936231893649,23.81625198338104,4860.0
0.0,-0.0,0.00806226753668086,0.0033395005571735365,112.79238083494569,46.717243675100676,4860.0
0.0,-0.0,0.007255849087577374,0.0048482033602854375,101.5111046169663,67.82289002407148,4860.0
0.0,-0.0,0.006170592427165338,0.006170592427165337,86.3290795760056,86.32210434382311,4860.0
0.0,-0.0,0.004848203360285438,0.007255849087577374,67.82975750283528,101.50396921861355,4860.0
0.0,-0.0,0.0033395005571735374,0.00806226753668086,46.724072042627405,112.78505711315144,4860.0
0.0,-0.0,0.0017024626204629459,0.008558857565721424,23.823115616836116,119.73185070210712,4860.0
0.0,-0.0,5.343461882864696e-19,0.008726535498373935,0.006967653298468674,122.07740139063868,4860.0
0.0,-0.0,-0.0017024626204629446,0.008558857565721424,-23.809127666132547,119.7315860488751,4860.0
0.0,-0.0,-0.003339500557173536,0.00806226753668086,-46.709934174267154,112.78456809793813,4860.0
0.0,-0.0,-0.004848203360285435,0.007255849087577376,-67.81539526705394,101.50333028982857,4860.0
0.0,-0.0,-0.006170592427165337,0.006170592427165338,-86.31445268112667,86.32141277277778,4860.0
0.0,-0.0,-0.007255849087577375,0.0048482033602854375,-101.49621306333745,67.82225109618878,4860.0
0.0,-0.0,-0.00806226753668086,0.003339500557173538,-112.7772649147352,46.71675466116342,4860.0
0.0,-0.0,-0.008558857565721424,0.0017024626204629482,-119.72409648190866,23.815987331051335,4860.0
0.0,-0.0,-0.008726535498373935,1.0686923765729392e-18,-122.06975343524388,7.118251920441259e-16,4860.0
0.0,-0.0,-0.008558857565721424,-0.001702462620462946,-119.72409648190867,-23.81598733105134,4860.0
0.0,-0.0,-0.008062267536680861,-0.0033395005571735356,-112.7772649147352,-46.71675466116342,4860.0
0.0,-0.0,-0.007255849087577376,-0.004848203360285435,-101.49621306333748,-67.82225109618875,4860.0
0.0,-0.0,-0.006170592427165339,-0.006170592427165337,-86.31445268112667,-86.32141277277778,4860.0
0.0,-0.0,-0.0048482033602854375,-0.007255849087577374,-67.81539526705394,-101.50333028982855,4860.0
0.0,-0.0,-0.0033395005571735417,-0.008062267536680857,-46.709934174267254,-112.78456809793809,4860.0
0.0,-0.0,-0.0017024626204629487,-0.008558857565721422,-23.80912766613255,-119.73158604887506,4860.0
0.0,-0.0,-1.6030385648594086e-18,-0.008726535498373935,0.0069676532984659645,-122.0774013906387,4860.0
0.0,-0.0,0.0017024626204629456,-0.008558857565721424,23.82311561683612,-119.73185070210712,4860.0
0.0,-0.0,0.0033395005571735387,-0.00806226753668086,46.724072042627434,-112.78505711315141,4860.0
0.0,-0.0,0.004848203360285434,-0.007255849087577376,67.82975750283526,-101.50396921861355,4860.0
0.0,-0.0,0.006170592427165336,-0.006170592427165339,86.32907957600555,-86.32210434382313,4860.0
0.0,-0.0,0.007255849087577374,-0.0048482033602854375,101.51110461696628,-67.82289002407148,4860.0
0.0,-0.0,0.008062267536680857,-0.003339500557173542,112.79238083494567,-46.71724367510079,4860.0
0.0,-0.0,0.008558857565721422,-0.0017024626204629493,119.73936231893644,-23.816251983381054,4860.0
0.0,-0.0,0.010471784116245796,0.0,146.76972069184802,-2.0651469952104845e-19,4860.0
0.0,-0.0,0.010328962629852128,0.0017235990161217738,144.7680551642889,24.15634377377351,4860.0
